struct,type,cores,iterations,ns/op,MB/s,op/s,B/op,allocs/op
SyncQueue,Throughput,6,901,1293773.0,0.03,665936,218868,49
SyncQueue,Throughput,6,915,1271172.0,0.03,802963,219635,49
SyncQueue,Throughput,6,939,1320072.0,0.03,835885,219336,49
SyncQueue,Throughput,6,903,1287237.0,0.03,826679,218991,49
SyncQueue,Throughput,6,942,1282635.0,0.03,826536,219378,50
SyncQueue,Throughput,6,914,1296681.0,0.03,817993,219232,50
SyncQueue,Throughput,6,984,1204910.0,0.03,663967,216750,43
SyncQueue,Throughput,6,1020,1223795.0,0.03,819320,216349,43
SyncQueue,Throughput,6,1009,1195399.0,0.03,865026,217352,46
SyncQueue,Throughput,6,1030,1216682.0,0.03,817732,217914,48
SyncQueue,Throughput,6,1016,1190419.0,0.03,879222,218427,47
SyncQueue,Throughput,6,988,1292174.0,0.03,832626,219105,50
SyncQueue,Throughput,6,950,1279385.0,0.03,822584,219875,50
SyncQueue,Throughput,6,945,1225503.0,0.03,881359,218270,48
SyncQueue,Throughput,6,1027,1194509.0,0.03,821468,217371,46
SyncQueue,Throughput,6,951,1183744.0,0.03,875567,219124,50
SyncQueue,Throughput,6,1023,1181286.0,0.03,883050,218568,48
SyncQueue,Throughput,6,1002,1196142.0,0.03,790535,218375,48
SyncQueue,Throughput,6,997,1233312.0,0.03,857706,216758,43
SyncQueue,Throughput,6,974,1186536.0,0.03,854591,217570,46
SyncQueue,Throughput,6,1011,1187091.0,0.03,878698,218152,46
SyncQueue,Throughput,6,1003,1194356.0,0.03,859499,217802,47
SyncQueue,Throughput,6,1005,1196119.0,0.03,756233,217470,45
SyncQueue,Throughput,6,1003,1232936.0,0.03,853014,217982,46
SyncQueue,Throughput,6,1002,1188806.0,0.03,831651,217865,44
SyncQueue,Throughput,6,1014,1283610.0,0.03,881035,219011,49
SyncQueue,Throughput,6,919,1288560.0,0.03,864475,219182,50
SyncQueue,Throughput,6,920,1252044.0,0.03,829335,218512,48
SyncQueue,Throughput,6,975,1235217.0,0.03,880076,218284,48
SyncQueue,Throughput,6,957,1243278.0,0.03,846251,216319,43
SyncQueue,Throughput,6,1004,1214551.0,0.03,921605,217334,46
SyncQueue,Throughput,6,1021,1187113.0,0.03,859973,218013,48
SyncQueue,Throughput,6,975,1309605.0,0.03,779645,218900,48
SyncQueue,Throughput,6,939,1295342.0,0.03,857604,218923,49
SyncQueue,Throughput,6,936,1281054.0,0.03,832267,219085,48
SyncQueue,Throughput,6,932,1280782.0,0.03,878326,218644,48
SyncQueue,Throughput,6,994,1249409.0,0.03,863468,218313,46
SyncQueue,Throughput,6,1006,1204130.0,0.03,826606,216878,43
SyncQueue,Throughput,6,955,1203667.0,0.03,893648,217242,45
SyncQueue,Throughput,6,986,1217049.0,0.03,831104,216900,45
SyncQueue,Throughput,6,972,1216949.0,0.03,892290,216522,43
SyncQueue,Throughput,6,1002,1234932.0,0.03,821334,217766,46
SyncQueue,Throughput,6,1020,1190702.0,0.03,843558,218027,47
Channel,Throughput,6,1057,1159253.0,0.03,888994,0,0
Channel,Throughput,6,991,1167743.0,0.03,882841,0,0
Channel,Throughput,6,950,1222255.0,0.03,881626,0,0
Channel,Throughput,6,1046,1172210.0,0.03,888978,0,0
Channel,Throughput,6,1036,1169310.0,0.03,892426,0,0
Channel,Throughput,6,1009,1153547.0,0.03,911097,0,0
Channel,Throughput,6,1027,1150893.0,0.03,885092,0,0
Channel,Throughput,6,1064,1154776.0,0.03,887352,0,0
Channel,Throughput,6,1044,1156382.0,0.03,934559,0,0
Channel,Throughput,6,1052,1143873.0,0.03,895387,0,0
Channel,Throughput,6,1042,1146531.0,0.03,914804,0,0
Channel,Throughput,6,993,1207732.0,0.03,881739,0,0
Channel,Throughput,6,1022,1168665.0,0.03,831656,0,0
Channel,Throughput,6,1024,1158816.0,0.03,889368,0,0
Channel,Throughput,6,1058,1142543.0,0.04,874847,0,0
Channel,Throughput,6,1066,1137852.0,0.04,868535,0,0
Channel,Throughput,6,1056,1138511.0,0.04,916622,0,0
Channel,Throughput,6,1050,1149944.0,0.03,897900,0,0
Channel,Throughput,6,1059,1137297.0,0.04,885733,0,0
Channel,Throughput,6,1065,1171717.0,0.03,888307,0,0
Channel,Throughput,6,1057,1146682.0,0.03,896191,0,0
Channel,Throughput,6,1038,1148709.0,0.03,886067,0,0
Channel,Throughput,6,1041,1145261.0,0.03,886079,0,0
Channel,Throughput,6,1035,1160638.0,0.03,896927,0,0
Channel,Throughput,6,1020,1167652.0,0.03,875978,0,0
Channel,Throughput,6,1056,1152072.0,0.03,781817,0,0
Channel,Throughput,6,1046,1172609.0,0.03,890104,0,0
Channel,Throughput,6,1053,1157654.0,0.03,893907,0,0
Channel,Throughput,6,1024,1140221.0,0.04,889810,0,0
Channel,Throughput,6,1040,1188240.0,0.03,891179,0,0
Channel,Throughput,6,1053,1157654.0,0.03,869391,0,0
Channel,Throughput,6,1051,1165460.0,0.03,903680,0,0
Channel,Throughput,6,1060,1146227.0,0.03,870189,0,0
Channel,Throughput,6,979,1205372.0,0.03,857861,0,0
Channel,Throughput,6,975,1190109.0,0.03,881629,0,0
Channel,Throughput,6,954,1187719.0,0.03,895936,0,0
Channel,Throughput,6,982,1179573.0,0.03,890888,0,0
Channel,Throughput,6,960,1201946.0,0.03,886043,0,0
Channel,Throughput,6,1004,1201594.0,0.03,855293,0,0
Channel,Throughput,6,1027,1202705.0,0.03,681387,0,0
Channel,Throughput,6,1014,1237647.0,0.03,843705,0,0
Channel,Throughput,6,996,1234331.0,0.03,841104,0,0
Channel,Throughput,6,987,1224322.0,0.03,814397,0,0
Channel,Throughput,6,974,1222247.0,0.03,872244,0,0
Channel,Throughput,6,981,1209594.0,0.03,761601,0,0
Channel,Throughput,6,945,1220534.0,0.03,891793,0,0
Channel,Throughput,6,939,1194720.0,0.03,888546,0,0
Channel,Throughput,6,1059,1150999.0,0.03,892901,0,0
Channel,Throughput,6,1044,1180824.0,0.03,861841,0,0
Channel,Throughput,6,1032,1209501.0,0.03,895540,0,0
Channel,Throughput,6,1047,1219105.0,0.03,854161,0,0
Channel,Throughput,6,985,1186047.0,0.03,889755,0,0
Channel,Throughput,6,1009,1171123.0,0.03,838456,0,0
Channel,Throughput,6,876,1178845.0,0.03,894510,0,0
Channel,Throughput,6,1039,1161810.0,0.03,887195,0,0
Channel,Throughput,6,1053,1140961.0,0.04,891782,0,0
Channel,Throughput,6,1063,1149699.0,0.03,879734,0,0
Channel,Throughput,6,1054,1140696.0,0.04,893321,0,0
Channel,Throughput,6,1045,1137990.0,0.04,874813,0,0
Channel,Throughput,6,1050,1169745.0,0.03,828011,0,0
Channel,Throughput,6,996,1186263.0,0.03,894695,0,0
Channel,Throughput,6,1038,1197625.0,0.03,887815,0,0
Channel,Throughput,6,1030,1153899.0,0.03,876032,0,0
Channel,Throughput,6,1034,1142662.0,0.04,891227,0,0
Channel,Throughput,6,1021,1148416.0,0.03,598364,0,0
Channel,Throughput,6,1047,1142916.0,0.03,923619,0,0
Channel,Throughput,6,1051,1148295.0,0.03,870905,0,0
Channel,Throughput,6,1057,1154759.0,0.03,893911,0,0
Channel,Throughput,6,1062,1142348.0,0.04,912403,0,0
Channel,Throughput,6,976,1155954.0,0.03,895998,0,0
Channel,Throughput,6,1056,1176106.0,0.03,882940,0,0
Channel,Throughput,6,1028,1203889.0,0.03,876999,0,0
Channel,Throughput,6,981,1190156.0,0.03,883826,0,0
Channel,Throughput,6,985,1145343.0,0.03,881636,0,0
Channel,Throughput,6,1029,1142447.0,0.04,876819,0,0
Channel,Throughput,6,1057,1145901.0,0.03,899365,0,0
Channel,Throughput,6,1056,1135520.0,0.04,872013,0,0
Channel,Throughput,6,1033,1141209.0,0.04,888781,0,0
Channel,Throughput,6,1058,1152603.0,0.03,872046,0,0
Channel,Throughput,6,998,1152332.0,0.03,889934,0,0
Channel,Throughput,6,994,1136520.0,0.04,871046,0,0
Channel,Throughput,6,992,1150432.0,0.03,894154,0,0
Channel,Throughput,6,1069,1162557.0,0.03,908127,0,0
Channel,Throughput,6,1046,1159674.0,0.03,926013,0,0
Channel,Throughput,6,1046,1156392.0,0.03,891849,0,0
Channel,Throughput,6,1044,1150462.0,0.03,893772,0,0
Channel,Throughput,6,1029,1144110.0,0.03,913945,0,0
Channel,Throughput,6,1052,1151932.0,0.03,893405,0,0
Channel,Throughput,6,952,1206793.0,0.03,876532,0,0
Channel,Throughput,6,938,1179274.0,0.03,822538,0,0
Channel,Throughput,6,1048,1202207.0,0.03,868878,0,0
Channel,Throughput,6,1026,1158599.0,0.03,868300,0,0
Channel,Throughput,6,1039,1187654.0,0.03,847154,0,0
Channel,Throughput,6,994,1163320.0,0.03,886149,0,0
Channel,Throughput,6,1035,1227906.0,0.03,874269,0,0
Channel,Throughput,6,1003,1175069.0,0.03,860910,0,0
Channel,Throughput,6,1062,1137378.0,0.04,866346,0,0
Channel,Throughput,6,1048,1141983.0,0.04,910941,0,0
Channel,Throughput,6,1047,1139680.0,0.04,869375,0,0
Channel,Throughput,6,1024,1154394.0,0.03,890509,0,0
